,Close,High,Low,Open,Volume,"('Close', 'XLU')","('High', 'XLU')","('Low', 'XLU')","('Open', 'XLU')","('Volume', 'XLU')","('Close', 'XLU').1","('High', 'XLU').1","('Low', 'XLU').1","('Open', 'XLU').1","('Volume', 'XLU').1","('Close', 'XLU').2","('High', 'XLU').2","('Low', 'XLU').2","('Open', 'XLU').2","('Volume', 'XLU').2","('Close', 'XLU').3","('High', 'XLU').3","('Low', 'XLU').3","('Open', 'XLU').3","('Volume', 'XLU').3","('Close', 'XLU').4","('High', 'XLU').4","('Low', 'XLU').4","('Open', 'XLU').4","('Volume', 'XLU').4","('Close', 'XLU').5","('High', 'XLU').5","('Low', 'XLU').5","('Open', 'XLU').5","('Volume', 'XLU').5","('Close', 'XLU').6","('High', 'XLU').6","('Low', 'XLU').6","('Open', 'XLU').6","('Volume', 'XLU').6","('Close', 'XLU').7","('High', 'XLU').7","('Low', 'XLU').7","('Open', 'XLU').7","('Volume', 'XLU').7","('Close', 'XLU').8","('High', 'XLU').8","('Low', 'XLU').8","('Open', 'XLU').8","('Volume', 'XLU').8","('Close', 'XLU').9","('High', 'XLU').9","('Low', 'XLU').9","('Open', 'XLU').9","('Volume', 'XLU').9","('Close', 'XLU').10","('High', 'XLU').10","('Low', 'XLU').10","('Open', 'XLU').10","('Volume', 'XLU').10","('Close', 'XLU').11","('High', 'XLU').11","('Low', 'XLU').11","('Open', 'XLU').11","('Volume', 'XLU').11","('Close', 'XLU').12","('High', 'XLU').12","('Low', 'XLU').12","('Open', 'XLU').12","('Volume', 'XLU').12","('Close', 'XLU').13","('High', 'XLU').13","('Low', 'XLU').13","('Open', 'XLU').13","('Volume', 'XLU').13","('Close', 'XLU').14","('High', 'XLU').14","('Low', 'XLU').14","('Open', 'XLU').14","('Volume', 'XLU').14","('Close', 'XLU').15","('High', 'XLU').15","('Low', 'XLU').15","('Open', 'XLU').15","('Volume', 'XLU').15","('Close', 'XLU').16","('High', 'XLU').16","('Low', 'XLU').16","('Open', 'XLU').16","('Volume', 'XLU').16","('Close', 'XLU').17","('High', 'XLU').17","('Low', 'XLU').17","('Open', 'XLU').17","('Volume', 'XLU').17","('Close', 'XLU').18","('High', 'XLU').18","('Low', 'XLU').18","('Open', 'XLU').18","('Volume', 'XLU').18","('Close', 'XLU').19","('High', 'XLU').19","('Low', 'XLU').19","('Open', 'XLU').19","('Volume', 'XLU').19","('Close', 'XLU').20","('High', 'XLU').20","('Low', 'XLU').20","('Open', 'XLU').20","('Volume', 'XLU').20","('Close', 'XLU').21","('High', 'XLU').21","('Low', 'XLU').21","('Open', 'XLU').21","('Volume', 'XLU').21","('Close', 'XLU').22","('High', 'XLU').22","('Low', 'XLU').22","('Open', 'XLU').22","('Volume', 'XLU').22","('Close', 'XLU').23","('High', 'XLU').23","('Low', 'XLU').23","('Open', 'XLU').23","('Volume', 'XLU').23","('Close', 'XLU').24","('High', 'XLU').24","('Low', 'XLU').24","('Open', 'XLU').24","('Volume', 'XLU').24","('Close', 'XLU').25","('High', 'XLU').25","('Low', 'XLU').25","('Open', 'XLU').25","('Volume', 'XLU').25","('Close', 'XLU').26","('High', 'XLU').26","('Low', 'XLU').26","('Open', 'XLU').26","('Volume', 'XLU').26","('Close', 'XLU').27","('High', 'XLU').27","('Low', 'XLU').27","('Open', 'XLU').27","('Volume', 'XLU').27","('Close', 'XLU').28","('High', 'XLU').28","('Low', 'XLU').28","('Open', 'XLU').28","('Volume', 'XLU').28","('Close', 'XLU').29","('High', 'XLU').29","('Low', 'XLU').29","('Open', 'XLU').29","('Volume', 'XLU').29","('Close', 'XLU').30","('High', 'XLU').30","('Low', 'XLU').30","('Open', 'XLU').30","('Volume', 'XLU').30","('Close', 'XLU').31","('High', 'XLU').31","('Low', 'XLU').31","('Open', 'XLU').31","('Volume', 'XLU').31","('Close', 'XLU').32","('High', 'XLU').32","('Low', 'XLU').32","('Open', 'XLU').32","('Volume', 'XLU').32","('Close', 'XLU').33","('High', 'XLU').33","('Low', 'XLU').33","('Open', 'XLU').33","('Volume', 'XLU').33","('Close', 'XLU').34","('High', 'XLU').34","('Low', 'XLU').34","('Open', 'XLU').34","('Volume', 'XLU').34","('Close', 'XLU').35","('High', 'XLU').35","('Low', 'XLU').35","('Open', 'XLU').35","('Volume', 'XLU').35","('Close', 'XLU').36","('High', 'XLU').36","('Low', 'XLU').36","('Open', 'XLU').36","('Volume', 'XLU').36","('Close', 'XLU').37","('High', 'XLU').37","('Low', 'XLU').37","('Open', 'XLU').37","('Volume', 'XLU').37","('Close', 'XLU').38","('High', 'XLU').38","('Low', 'XLU').38","('Open', 'XLU').38","('Volume', 'XLU').38","('Close', 'XLU').39","('High', 'XLU').39","('Low', 'XLU').39","('Open', 'XLU').39","('Volume', 'XLU').39","('Close', 'XLU').40","('High', 'XLU').40","('Low', 'XLU').40","('Open', 'XLU').40","('Volume', 'XLU').40","('Close', 'XLU').41","('High', 'XLU').41","('Low', 'XLU').41","('Open', 'XLU').41","('Volume', 'XLU').41","('Close', 'XLU').42","('High', 'XLU').42","('Low', 'XLU').42","('Open', 'XLU').42","('Volume', 'XLU').42","('Close', 'XLU').43","('High', 'XLU').43","('Low', 'XLU').43","('Open', 'XLU').43","('Volume', 'XLU').43","('Close', 'XLU').44","('High', 'XLU').44","('Low', 'XLU').44","('Open', 'XLU').44","('Volume', 'XLU').44","('Close', 'XLU').45","('High', 'XLU').45","('Low', 'XLU').45","('Open', 'XLU').45","('Volume', 'XLU').45","('Close', 'XLU').46","('High', 'XLU').46","('Low', 'XLU').46","('Open', 'XLU').46","('Volume', 'XLU').46","('Close', 'XLU').47","('High', 'XLU').47","('Low', 'XLU').47","('Open', 'XLU').47","('Volume', 'XLU').47","('Close', 'XLU').48","('High', 'XLU').48","('Low', 'XLU').48","('Open', 'XLU').48","('Volume', 'XLU').48","('Close', 'XLU').49","('High', 'XLU').49","('Low', 'XLU').49","('Open', 'XLU').49","('Volume', 'XLU').49","('Close', 'XLU').50","('High', 'XLU').50","('Low', 'XLU').50","('Open', 'XLU').50","('Volume', 'XLU').50","('Close', 'XLU')","('High', 'XLU')","('Low', 'XLU')","('Open', 'XLU')","('Volume', 'XLU')"
2024-04-15,30.0078067779541,30.621078905191762,29.894586782281845,30.493705285328733,29407800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16,29.61153793334961,29.94647762857316,29.50775309274542,29.91345550648468,32907600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-17,30.229528427124023,30.305006025141765,29.748346592658102,29.804955690956803,28152800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-18,30.39935874938965,30.503143600104686,30.111592972094947,30.333314498778574,22288600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-19,30.866382598876953,30.9324268401171,30.44652837993264,30.479550500552715,37004600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,31.149429321289062,31.23434385843186,30.67296421847997,30.885252360907536,23458600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,31.295671463012695,31.49380779407994,31.059798134774827,31.1352793273988,22338000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-24,31.4843692779541,31.58815411307436,30.856948991425476,31.012622644964683,26127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-25,31.569284439086914,31.696658048027682,31.13527839196255,31.40889230829188,31562400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-26,31.22491455078125,31.611746692466376,31.21076272594937,31.56928761882911,24547400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-29,31.649484634399414,31.70609553455367,31.413611282469265,31.441918532117253,29368200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,31.4843692779541,31.729679542627657,31.26736625867591,31.47493592891643,29724800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,31.847618103027344,32.13538385426947,31.357001143518488,31.47965628318105,42371800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-02,32.017452239990234,32.09764832124598,31.7249679682351,31.97971163734919,28609400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,32.27219772338867,32.37597898777299,31.98443191057149,32.26747924800779,29817000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
