date,name,position,change_dir,shares_before,shares_after,change_amount
2025-03-10,공성필,,,0,0,0
2025-03-10,홍성명,,,0,0,0
2025-03-10,정영칠,,,0,0,0
2025-03-11,김덕수,,,0,0,0
2025-03-11,김동길,,,0,0,0
2025-03-11,조창열,,,0,0,0
2025-03-11,최용길,,,0,0,0
2025-03-11,김용규,,,0,0,0
2025-03-11,김재갑,,,0,0,0
2025-03-11,김종봉,,,0,0,0
2025-03-11,김효태,,,0,0,0
2025-03-11,류제욱,,,0,0,0
2025-03-11,박승민,,,0,0,0
2025-03-11,박영길,,,0,0,0
2025-03-11,송치욱,,,0,0,0
2025-03-11,신동규,,,0,0,0
2025-03-11,양윤호,,,0,0,0
2025-03-11,이상언,,,0,0,0
2025-03-11,이정원,,,0,0,0
2025-03-11,이한희,,,0,0,0
2025-03-11,이희범,,,0,0,0
2025-03-11,임영기,,,0,0,0
2025-03-11,장록재,,,0,0,0
2025-03-11,장세영,,,0,0,0
2025-03-11,전종민,,,0,0,0
2025-03-11,정태진,,,0,0,0
2025-05-27,홍성명,,,0,0,0
2025-05-30,이기철,,,0,0,0
2025-09-12,이희범,,,0,0,0
2025-10-17,이희범,,,0,0,0
2025-11-26,최용길,,,0,0,0
2026-01-08,김군수,,,0,0,0
2026-01-08,김호정,,,0,0,0
2026-01-08,원일준,,,0,0,0
2026-01-08,김기범,,,0,0,0
2026-01-08,서영빈,,,0,0,0
2026-01-12,최용길,,,0,0,0
2026-01-27,육심균,,,0,0,0
2026-02-20,정태진,,,0,0,0
2026-03-04,류제욱,,,0,0,0
2026-03-05,강석주,,,0,0,0
2026-03-05,김봉준,,,0,0,0
2026-03-05,김재갑,,,0,0,0
2026-03-05,김종석,,,0,0,0
2026-03-05,노학준,,,0,0,0
2026-03-05,박동범,,,0,0,0
2026-03-05,박칠규,,,0,0,0
2026-03-05,육심균,,,0,0,0
2026-03-05,이광열,,,0,0,0
2026-03-05,이현호,,,0,0,0
2026-03-05,이동수,,,0,0,0
2026-03-05,윤요한,,,0,0,0
2026-03-05,손승우,,,0,0,0
2026-03-05,김동철,,,0,0,0
2026-03-05,송용진,,,0,0,0
2026-03-05,김종두,,,0,0,0
2026-03-05,박상현,,,0,0,0
2026-03-05,정연인,,,0,0,0
2026-03-05,박지원,,,0,0,0
2026-03-05,이성열,,,0,0,0
2026-03-05,이성우,,,0,0,0
2026-03-05,김건주,,,0,0,0
2026-03-05,홍성명,,,0,0,0
