date,Close,Volume
2016-01-04,26600,122886
2016-01-05,27000,92131
2016-01-06,26850,119356
2016-01-07,25900,190322
2016-01-08,26100,160811
2016-01-11,25450,113939
2016-01-12,25000,138199
2016-01-13,25000,85056
2016-01-14,24950,93283
2016-01-15,24750,106946
2016-01-18,24850,65694
2016-01-19,23700,214799
2016-01-20,22800,264782
2016-01-21,23000,146915
2016-01-22,23650,149390
2016-01-25,23550,151659
2016-01-26,22900,174132
2016-01-27,23850,180484
2016-01-28,23850,109353
2016-01-29,24200,141573
2016-02-01,25650,384484
2016-02-02,25500,140045
2016-02-03,25500,100354
2016-02-04,26100,162047
2016-02-05,25750,127293
2016-02-11,24650,165267
2016-02-12,24650,175939
2016-02-15,25450,200588
2016-02-16,25400,158600
2016-02-17,25550,153911
2016-02-18,26000,97132
2016-02-19,26350,144514
2016-02-22,26300,147494
2016-02-23,27050,184460
2016-02-24,26950,92143
2016-02-25,27700,251795
2016-02-26,26950,152694
2016-02-29,27950,223117
2016-03-02,28350,192453
2016-03-03,28400,246628
2016-03-04,28800,214580
2016-03-07,28600,137121
2016-03-08,28950,132093
2016-03-09,28150,377377
2016-03-10,28900,212236
2016-03-11,28950,138105
2016-03-14,28550,90013
2016-03-15,28650,180308
2016-03-16,28400,109030
2016-03-17,28950,187104
2016-03-18,29850,418167
2016-03-21,29000,159173
2016-03-22,29500,114635
2016-03-23,29800,105650
2016-03-24,29250,98657
2016-03-25,29150,47276
2016-03-28,29300,59938
2016-03-29,29150,59952
2016-03-30,29700,148134
2016-03-31,29650,125616
2016-04-01,28750,165713
2016-04-04,28900,125645
2016-04-05,29400,139036
2016-04-06,30450,286045
2016-04-07,30100,144939
2016-04-08,30350,136855
2016-04-11,30750,121328
2016-04-12,30350,102398
2016-04-14,30750,246092
2016-04-15,30850,141551
2016-04-18,30800,144936
2016-04-19,31300,166469
2016-04-20,31250,116004
2016-04-21,31550,124428
2016-04-22,30750,127674
2016-04-25,30700,71760
2016-04-26,30700,107515
2016-04-27,30900,120847
2016-04-28,31400,415001
2016-04-29,31850,238927
2016-05-02,31800,121766
2016-05-03,32000,129214
2016-05-04,31150,193224
2016-05-09,31500,216567
2016-05-10,30050,347401
2016-05-11,30550,126516
2016-05-12,30400,60786
2016-05-13,30700,98291
2016-05-16,29950,140675
2016-05-17,30300,95444
2016-05-18,30250,110222
2016-05-19,30150,112550
2016-05-20,29200,158413
2016-05-23,29150,83959
2016-05-24,29750,139459
2016-05-25,30000,111564
2016-05-26,30250,85942
2016-05-27,30850,178240
2016-05-30,29950,241110
2016-05-31,29850,150446
2016-06-01,29400,130939
2016-06-02,29350,89135
2016-06-03,28950,124966
2016-06-07,29900,157250
2016-06-08,30200,139230
2016-06-09,29500,134976
2016-06-10,30100,114389
2016-06-13,30100,113484
2016-06-14,29050,242406
2016-06-15,29300,79128
2016-06-16,28950,77549
2016-06-17,28650,131634
2016-06-20,29250,64301
2016-06-21,29900,137389
2016-06-22,30350,118701
2016-06-23,30350,113860
2016-06-24,29350,316051
2016-06-27,29250,129953
2016-06-28,29150,66832
2016-06-29,29800,127953
2016-06-30,29150,127238
2016-07-01,30000,140359
2016-07-04,29700,138581
2016-07-05,29700,91227
2016-07-06,29150,115495
2016-07-07,29850,99781
2016-07-08,29650,39648
2016-07-11,30250,126854
2016-07-12,30900,198858
2016-07-13,31800,430446
2016-07-14,31550,113964
2016-07-15,31400,112636
2016-07-18,31100,116718
2016-07-19,30300,155203
2016-07-20,30700,71879
2016-07-21,30300,61130
2016-07-22,30450,45608
2016-07-25,30850,74369
2016-07-26,30650,121253
2016-07-27,30500,72304
2016-07-28,31300,302471
2016-07-29,31050,146132
2016-08-01,32400,217476
2016-08-02,32700,188423
2016-08-03,32450,132251
2016-08-04,32400,140657
2016-08-05,32850,173828
2016-08-08,31700,167614
2016-08-09,33000,219261
2016-08-10,32200,107137
2016-08-11,32700,105787
2016-08-12,33750,294528
2016-08-16,33400,140378
2016-08-17,32900,112457
2016-08-18,32550,103098
2016-08-19,33250,161893
2016-08-22,32300,134598
2016-08-23,31750,159868
2016-08-24,32650,157117
2016-08-25,32400,74427
2016-08-26,32500,59719
2016-08-29,31650,78274
2016-08-30,31700,109437
2016-08-31,31350,189466
