ticker,name,sector,type,score
005930,삼성전자,반도체,equity,1.0
000660,SK하이닉스,반도체,equity,0.3978
015760,한국전력,에너지,equity,0.0885
034020,두산에너빌리티,etc,equity,0.0836
005380,현대차,자동차,equity,0.0656
006800,미래에셋증권,etc,equity,0.0631
272210,한화시스템,소재/화학,equity,0.0521
042660,한화오션,소재/화학,equity,0.0471
000270,기아,자동차,equity,0.042
105560,KB금융,금융,equity,0.0403
035420,NAVER,IT/소프트웨어,equity,0.0299
006400,삼성SDI,2차전지,equity,0.0329
069500,KODEX 200,인덱스,etf,0.5
148070,KOSEF 국고채10년,채권,bond_etf,0.5
305720,KODEX 2차전지산업,2차전지ETF,etf,0.5
